,Key_a,title_a,brand_a,price_a,Key_b,title_b,brand_b,price_b,label
0,"[19664990, 3510303, 3339448, 7612860, 16195119, 19874350, 6396509, 11971593, 719134]",hogan sneakers interactive aus wildleder in nachtblau,,,"[19664990, 3510303, 3339448, 7612860, 16195119, 19874350, 6396509, 11971593, 719134]",sneaker hogan interactive en gamuza azul noche,,,1
1,"[6831716, 41421, 1637988, 7822683, 16730434, 21984962, 6276389, 6276867, 3183703]",air jordan retro nike 378037 123 everysize com,nike,,"[6831716, 41421, 1637988, 7822683, 16730434, 21984962, 6276389, 6276867, 3183703]",latest air jordan 11 xi white midnight navy university blue sale,,,1
2,"[407275, 19886854, 1637988, 7822683, 16730434, 6276774, 16729594, 1703620, 6276983]",air jordan 4 retro alternate motorspots mens footwear the sneaker authority,,,"[407275, 19886854, 1637988, 7822683, 16730434, 6276774, 16729594, 1703620, 6276983]",air jordan 4 retro alternate motorspots the sneaker authority,,,1
3,"[483915, 165023, 60517466, 1990165, 5262520, 448969, 3341498, 7034804, 1990127]",nike hypervenom phatal ii df ltr fg black total orange mens boots firm ground,,,"[483915, 165023, 60517466, 1990165, 5262520, 448969, 3341498, 7034804, 1990127]",nike hypervenom phatal ii df piel fg negro naranja botas de futbol cesped firme,,,1
4,"[12257149, 17493275, 2628556, 794586, 1069901, 157064, 586918, 358868]",puma evospeed 5 fg enfant noir blanc rouge chaussures pour terrain sec,,,"[12257149, 17493275, 2628556, 794586, 1069901, 157064, 586918, 358868]",puma kids evospeed 5 fg black white red blast youths soccer cleats firm ground,,,1
5,"[24326087, 30612609, 29533421, 28032548, 28003940, 27217352, 28871809, 27092858, 407275]",air jordan 13 retro playoff 2017 pre order the sneaker authority,,,"[544018, 55769464, 4866698, 18170085, 1471926]",jordan 13 bred the basement clothing,,,1
6,"[30749736, 1130577, 3944952, 1129480, 5187395, 407275, 4140943, 65798425, 162797]",nike air zoom pegasus 32 men s training shoes green blue lagoon black lifestyle footwear,goaliemonkey,93 98 usd,"[30749736, 1130577, 3944952, 1129480, 5187395, 407275, 4140943, 65798425, 162797]",nike air zoom pegasus 32 men s training shoes green blue lagoon black running and,baseball monkey,93 98 usd,1
7,"[1069901, 17493275, 2628556, 12257149, 157064, 794586, 586918, 358868]",puma evospeed sl ii leather tricks fg the soccer factory,,,"[1069901, 17493275, 2628556, 12257149, 157064, 794586, 586918, 358868]",puma evospeed sl pelle ii fg bianco nero arancione scarpe uomo terreni compatti,,,1
8,"[3341498, 5262520, 483915, 165023, 60517466, 1990165, 7034804, 1990127, 448969]",nike sportswear air footscape magista flyknit cremise acceso,,,"[3341498, 5262520, 483915, 165023, 60517466, 1990165, 7034804, 1990127, 448969]",nike sportswear air footscape magista flyknit rojo negro dorado zapatillas para hombre,,,1
9,"[7575522, 3546127, 17466708, 56736091, 7824622, 12069787, 108006, 2308427, 7575500]",nike zoom speed tr3 black white mens shoes 804401 017,,,"[7575522, 3546127, 17466708, 56736091, 7824622, 12069787, 108006, 2308427, 7575500]",nike zoom speed tr3 negro blanco zapatillas para hombre,,,1
10,"[724698, 663601, 2702745, 55081, 240843, 444309, 46049528, 30143095, 264048]",nike air max 90 ultra 2 0 ltr 924447 200,nike,129 00 eur,"[724698, 663601, 2702745, 55081, 240843, 444309, 46049528, 30143095, 264048]",nike sportswear buty air max 90 ultra 2 0 ltr bursztynowy answear com,nike sportswear,,1
11,"[3895, 644994, 357030, 6743443, 1740859, 21869567, 4043650, 4540298, 3109530]",adidas adizero malice fg acheter et offres sur goalinn,adidas,,"[3895, 644994, 357030, 6743443, 1740859, 21869567, 4043650, 4540298, 3109530]",adidas adizero malice fg anfugen und sonderangebote goalinn,adidas,,1
12,"[483915, 165023, 60517466, 1990165, 90007, 7034804, 5262520, 3341498, 1990127]",nike wmns air max 90 schwarz 325213 043 purchaze,nike,,"[483915, 165023, 60517466, 1990165, 90007, 7034804, 5262520, 3341498, 1990127]",sneakers buty nike wmns air max 90 black 325213 043 bludshop com,,,1
