,Key_a,title_a,brand_a,price_a,Key_b,title_b,brand_b,price_b,label
0,19664990,hogan sneakers interactive aus wildleder in nachtblau,,,19664990,sneaker hogan interactive en gamuza azul noche,,,1
1,6831716,air jordan retro nike 378037 123 everysize com,nike,,6831716,latest air jordan 11 xi white midnight navy university blue sale,,,1
2,407275,air jordan 4 retro alternate motorspots mens footwear the sneaker authority,,,407275,air jordan 4 retro alternate motorspots the sneaker authority,,,1
3,483915,nike hypervenom phatal ii df ltr fg black total orange mens boots firm ground,,,483915,nike hypervenom phatal ii df piel fg negro naranja botas de futbol cesped firme,,,1
4,12257149,puma evospeed 5 fg enfant noir blanc rouge chaussures pour terrain sec,,,12257149,puma kids evospeed 5 fg black white red blast youths soccer cleats firm ground,,,1
5,24326087,air jordan 13 retro playoff 2017 pre order the sneaker authority,,,544018,jordan 13 bred the basement clothing,,,1
6,30749736,nike air zoom pegasus 32 men s training shoes green blue lagoon black lifestyle footwear,goaliemonkey,93 98 usd,30749736,nike air zoom pegasus 32 men s training shoes green blue lagoon black running and,baseball monkey,93 98 usd,1
7,1069901,puma evospeed sl ii leather tricks fg the soccer factory,,,1069901,puma evospeed sl pelle ii fg bianco nero arancione scarpe uomo terreni compatti,,,1
8,3341498,nike sportswear air footscape magista flyknit cremise acceso,,,3341498,nike sportswear air footscape magista flyknit rojo negro dorado zapatillas para hombre,,,1
9,7575522,nike zoom speed tr3 black white mens shoes 804401 017,,,7575522,nike zoom speed tr3 negro blanco zapatillas para hombre,,,1
10,724698,nike air max 90 ultra 2 0 ltr 924447 200,nike,129 00 eur,724698,nike sportswear buty air max 90 ultra 2 0 ltr bursztynowy answear com,nike sportswear,,1
11,3895,adidas adizero malice fg acheter et offres sur goalinn,adidas,,3895,adidas adizero malice fg anfugen und sonderangebote goalinn,adidas,,1
12,483915,nike wmns air max 90 schwarz 325213 043 purchaze,nike,,483915,sneakers buty nike wmns air max 90 black 325213 043 bludshop com,,,1
13,1130577,vans classic slip on black mens shoes,,,1130577,vans classic slip on skate shoes 10 black skateboarding page 8 tar wheels way,vans,,1
14,17490827,asics tiger gel lyte white womens shoes hn7f6 0101,,,17490827,gel lyte women s sneakers asics tiger,,,1
15,15111541,nike junior hypervenom phantom ii fg volt nero hyper turchese scarpe terreni compatti,,,15111541,nike kids hypervenom phantom ii fg volt black hyper turquoise junior boots firm ground,,,1
16,7365437,nike mercurial veloce iii ronaldo fg alga volt hasta blanco botas de futbol,,,7365437,nike mercurial veloce iii ronaldo fg verde volt hasta bianco scarpe uomo terreni compatti,,,1
17,407275,air max 90 leather,,139 00 eur,407275,nike sportswear air max 90 lederschuhe schwarz freizeitschuhe herrenschuhe 302519 001,,,1
18,5442918,free 5 0 nike noir et blanc partir de 75 00 mod le femme,nike,,5442918,nike free 5 0 pour femme noir blanc gris chaussures,,,1
19,696278,nike wmns air force 1 07 bia y 399 99 pln lifestyle 315115112 up8 com,nike,,696278,ze 912 tiresavings com the best value in tires on web,,,1
20,1416101,gi y b ng nike mercurialx finale ii ic 831974 589 t i th,,2 050 000,1416101,nike mercurialx finale ii in violet dynastie citrus chaussures de football pour homme indoor i pro direct soccer,,,1
21,1130577,nike air zoom pegasus 33 women s training shoes white pink green clearance footwear,baseball monkey,93 98 usd,1130577,nike air zoom pegasus 33 women s training shoes white pink green running and,baseball monkey,93 98 usd,1
22,1990165,nike tiempo legend vi sg pro black white metallic gold mens boots soft ground,,,1990165,nike tiempo legend vi sg pro nero bianco oro metallico scarpe uomo terreni morbidi,,,1
23,22132443,nike sportswear air force 1 07 bianco pelle scarpe uomo 315122 111,,,22132443,nike sportswear air force 1 07 blanco zapatillas de deporte deportivas,,,1
24,1130577,air jordans 14 retro low laney shoes for sale 2017 jordan,,,1130577,new air jordan 14 retro low laney shoes,,,1
25,327247,asics gel lyte iii negro zapatillas para hombre deportivas,,,327247,gel lyte iii asics h534l 9090 everysize com,asics,,1
26,468697,nike free run negro blanco antracita zapatillas de correr,,,468697,nike free run nero bianco antracide scarpe uomo,,,1
27,967015,buty concave halo2 0 fg czarny m skie pi karskie trawa naturalna,,,3549732,concave halo2 0 fg noir chaussures pour homme terrain sec,,,1
28,68287013,nike air max 90 essential black white 537384 077 purchaze,nike,,68287013,nike air max 90 essential zwart heren hardloopschoenen sportschoenen schoenen trainers,,,1
29,6794674,air max 90 essential nike 616730 113 everysize com,nike,,6794674,nike air max 90 essential 616730 113 sneakers for women upclassics,nike,,1
30,7597087,maple veneer stair tread cover 42,uberhaus select,,3549732,puma evopower 1 3 cuir fg rouge blanc noir chaussures pour homme terrain sec,,,1
