,id_left,id_right,label,Key_a,Key_b,id_left,title_left,brand_left,price_left,id_right,title_right,brand_right,price_right
0,0,530,1,19664990,19664990,6638421,hogan sneakers interactive aus wildleder in nachtblau,,,2447385,sneaker hogan interactive en gamuza azul noche,,
1,1,1420,1,6831716,6831716,13671654,air jordan retro nike 378037 123 everysize com,nike,,15652127,latest air jordan 11 xi white midnight navy university blue sale,,
2,2,534,1,407275,407275,8578396,air jordan 4 retro alternate motorspots mens footwear the sneaker authority,,,3063245,air jordan 4 retro alternate motorspots the sneaker authority,,
3,3,537,1,483915,483915,5312103,nike hypervenom phatal ii df ltr fg black total orange mens boots firm ground,,,11431911,nike hypervenom phatal ii df piel fg negro naranja botas de futbol cesped firme,,
4,4,1421,1,12257149,12257149,15853856,puma evospeed 5 fg enfant noir blanc rouge chaussures pour terrain sec,,,6951403,puma kids evospeed 5 fg black white red blast youths soccer cleats firm ground,,
5,2874,2911,1,24326087,544018,8690689,air jordan 13 retro playoff 2017 pre order the sneaker authority,,,15755002,jordan 13 bred the basement clothing,,
6,2929,2632,1,30749736,30749736,15062862,nike air zoom pegasus 32 men s training shoes green blue lagoon black lifestyle footwear,goaliemonkey,93 98 usd,17317774,nike air zoom pegasus 32 men s training shoes green blue lagoon black running and,baseball monkey,93 98 usd
7,7,1422,1,1069901,1069901,7652942,puma evospeed sl ii leather tricks fg the soccer factory,,,3972177,puma evospeed sl pelle ii fg bianco nero arancione scarpe uomo terreni compatti,,
8,8,1423,1,3341498,3341498,10042889,nike sportswear air footscape magista flyknit cremise acceso,,,12046876,nike sportswear air footscape magista flyknit rojo negro dorado zapatillas para hombre,,
9,9,2114,1,7575522,7575522,15643902,nike zoom speed tr3 black white mens shoes 804401 017,,,4277536,nike zoom speed tr3 negro blanco zapatillas para hombre,,
10,10,1425,1,724698,724698,9651695,nike air max 90 ultra 2 0 ltr 924447 200,nike,129 00 eur,10146610,nike sportswear buty air max 90 ultra 2 0 ltr bursztynowy answear com,nike sportswear,
11,11,1426,1,3895,3895,16473904,adidas adizero malice fg acheter et offres sur goalinn,adidas,,9179678,adidas adizero malice fg anfugen und sonderangebote goalinn,adidas,
12,12,2095,1,483915,483915,12276519,nike wmns air max 90 schwarz 325213 043 purchaze,nike,,8993989,sneakers buty nike wmns air max 90 black 325213 043 bludshop com,,
13,13,2809,1,1130577,1130577,1697129,vans classic slip on black mens shoes,,,16469122,vans classic slip on skate shoes 10 black skateboarding page 8 tar wheels way,vans,
14,2756,554,1,17490827,17490827,11175184,asics tiger gel lyte white womens shoes hn7f6 0101,,,16161853,gel lyte women s sneakers asics tiger,,
